year,category,laureates,shared_count
1973,Physiology or Medicine,"['Karl von Frisch', 'Konrad Lorenz', 'Nikolaas Tinbergen']",3
1974,Chemistry,['Paul J. Flory'],1
1974,Economic Sciences,"['Gunnar Myrdal', 'Friedrich August von Hayek']",2
1974,Literature,"['Eyvind Johnson', 'Harry Martinson']",2
1974,Peace,"['Seán MacBride', 'Eisaku Satō']",2
1974,Physics,"['Sir Martin Ryle', 'Antony Hewish']",2
1974,Physiology or Medicine,"['Albert Claude', 'Christian de Duve', 'George E. Palade']",3
1975,Chemistry,"['John Warcup Cornforth', 'Vladimir Prelog']",2
1975,Economic Sciences,"['Leonid Vitaliyevich Kantorovich', 'Tjalling C. Koopmans']",2
1975,Literature,['Eugenio Montale'],1
1975,Peace,['Andrei Dmitrievich Sakharov'],1
1975,Physics,"['Aage Niels Bohr', 'Ben Roy Mottelson', 'Leo James Rainwater']",3
1975,Physiology or Medicine,"['David Baltimore', 'Renato Dulbecco', 'Howard Martin Temin']",3
1976,Chemistry,['William N. Lipscomb'],1
1976,Economic Sciences,['Milton Friedman'],1
1976,Literature,['Saul Bellow'],1
1976,Peace,"['Elizabeth Williams', 'Mairead Corrigan']",2
1976,Physics,"['Burton Richter', 'Samuel Chao Chung Ting']",2
1976,Physiology or Medicine,"['Baruch S. Blumberg', 'D. Carleton Gajdusek']",2
1977,Chemistry,['Ilya Romanovich Prigogine'],1
1977,Economic Sciences,"['Bertil Ohlin', 'James E. Meade']",2
1977,Literature,['Vicente Aleixandre'],1
1977,Peace,['Amnesty International'],1
1977,Physics,"['Philip Warren Anderson', 'Sir Nevill Francis Mott', 'John Hasbrouck Van Vleck']",3
1977,Physiology or Medicine,"['Roger Guillemin', 'Andrew V. Schally', 'Rosalyn Yalow']",3
1978,Chemistry,['Peter D. Mitchell'],1
1978,Economic Sciences,['Herbert A. Simon'],1
1978,Literature,['Isaac Bashevis Singer'],1
1978,Peace,"['Mohamed Anwar al-Sadat', 'Menachem Begin']",2
1978,Physics,"['Pyotr Leonidovich Kapitsa', 'Arno Allan Penzias', 'Robert Woodrow Wilson']",3
1978,Physiology or Medicine,"['Werner Arber', 'Daniel Nathans', 'Hamilton O. Smith']",3
